,query name,query
0,Sys Load all cores,"avg(node_load5{instance=""$node"",job=""$job""}) /  count(count(node_cpu_seconds_total{instance=""$node"",job=""$job""}) by (cpu)) * 100"
1,RAM Used,"((node_memory_MemTotal_bytes{instance=""$node"",job=""$job""} - node_memory_MemFree_bytes{instance=""$node"",job=""$job""}) / (node_memory_MemTotal_bytes{instance=""$node"",job=""$job""} )) * 100"
2,SWAP Used,"((node_memory_SwapTotal_bytes{instance=""$node"",job=""$job""} - node_memory_SwapFree_bytes{instance=""$node"",job=""$job""}) / (node_memory_SwapTotal_bytes{instance=""$node"",job=""$job""} )) * 100"
3,Root FS Used,"100 - ((node_filesystem_avail_bytes{instance=""$node"",job=""$job"",mountpoint=""/"",fstype!=""rootfs""} * 100) / node_filesystem_size_bytes{instance=""$node"",job=""$job"",mountpoint=""/"",fstype!=""rootfs""})"
4,RootFS Total Size,"node_filesystem_size_bytes{instance=""$node"",job=""$job"",mountpoint=""/"",fstype!=""rootfs""}"
5,RAM Total,"node_memory_MemTotal_bytes{instance=""$node"",job=""$job""}"
6,SWAP Total,"node_memory_SwapTotal_bytes{instance=""$node"",job=""$job""}"
7,Uptime,"node_time_seconds{instance=""$node"",job=""$job""} - node_boot_time_seconds{instance=""$node"",job=""$job""}"
8,Ram Used,"node_memory_MemTotal_bytes{instance=""$node"",job=""$job""} - node_memory_MemFree_bytes{instance=""$node"",job=""$job""} - (node_memory_Cached_bytes{instance=""$node"",job=""$job""} + node_memory_Buffers_bytes{instance=""$node"",job=""$job""} + node_memory_SReclaimable_bytes{instance=""$node"",job=""$job""})"
9,Ram Used,"node_memory_MemTotal_bytes{instance=""$node"",job=""$job""} - node_memory_MemFree_bytes{instance=""$node"",job=""$job""} - (node_memory_Cached_bytes{instance=""$node"",job=""$job""} + node_memory_Buffers_bytes{instance=""$node"",job=""$job""} + node_memory_SReclaimable_bytes{instance=""$node"",job=""$job""})"
10,Ram Cache + Buffer,"node_memory_Cached_bytes{instance=""$node"",job=""$job""} + node_memory_Buffers_bytes{instance=""$node"",job=""$job""} + node_memory_SReclaimable_bytes{instance=""$node"",job=""$job""}"
11,Ram Free,"node_memory_MemFree_bytes{instance=""$node"",job=""$job""}"
12,Swap Used,"(node_memory_SwapTotal_bytes{instance=""$node"",job=""$job""} - node_memory_SwapFree_bytes{instance=""$node"",job=""$job""})"
13,"Recved From Ethernet (eth0, enp0s3)","irate(node_network_receive_bytes_total{instance=""$node"",job=""$job""}[$__rate_interval])*8"
14,recieved from virbr0,"irate(node_network_transmit_bytes_total{instance=""$node"",job=""$job""}[$__rate_interval])*8"
15,Disk Space Used,"100 - ((node_filesystem_avail_bytes{instance=""$node"",job=""$job"",device!~'rootfs'} * 100) / node_filesystem_size_bytes{instance=""$node"",job=""$job"",device!~'rootfs'})"
16,Disk Read IOPs,"irate(node_disk_reads_completed_total{instance=""$node"",job=""$job"",device=~""$diskdevices""}[25s])"
17,Disk Write IOPs,"irate(node_disk_writes_completed_total{instance=""$node"",job=""$job"",device=~""$diskdevices""}[25s])"
18,I/O Utilization percentage,"irate(node_disk_io_time_seconds_total{instance=""$node"",job=""$job"",device=~""$diskdevices""} [25s])"
19,Processors Blocked for Block System,"node_procs_blocked{instance=""$node"",job=""$job""}"
20,Processes on Runnable State,"node_procs_running{instance=""$node"",job=""$job""}"
21,Processes  Forks,"irate(node_forks_total{instance=""$node"",job=""$job""}[$__rate_interval])"
22,Process schedule stats Running ,"irate(node_schedstat_running_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval])"
23,Process schedule stats Waiting,"irate(node_schedstat_waiting_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval])"
24,System Load 1m,"node_load1{instance=""$node"",job=""$job""}"
25,System Load 5m,"node_load5{instance=""$node"",job=""$job""}"
26,System Load 15m,"node_load15{instance=""$node"",job=""$job""}"
27,Context Switches,"irate(node_context_switches_total{instance=""$node"",job=""$job""}[5s])"
28,Interrupts,"irate(node_intr_total{instance=""$node"",job=""$job""}[5s])"
29,Power Supply,"node_power_supply_online{instance=""$node"",job=""$job""}"
30,Throttle cooling device,"node_cooling_device_cur_state{instance=""$node"",job=""$job""}"
31,Disk IOps Reads Completed,"irate(node_disk_reads_completed_total{instance=""$node"",job=""$job""}[5s])"
32,Disk IOps Writes Completed,"irate(node_disk_writes_completed_total{instance=""$node"",job=""$job""}[5s])"
33,Disk Average Wait Time Reading,"irate(node_disk_read_time_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval]) / irate(node_disk_reads_completed_total{instance=""$node"",job=""$job""}[$__rate_interval])"
34,Disk Average Wait Time Writing,"irate(node_disk_write_time_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval]) / irate(node_disk_writes_completed_total{instance=""$node"",job=""$job""}[$__rate_interval])"
35,Average Queue Size,"irate(node_disk_io_time_weighted_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval])"
36,Disk Read Merged,"irate(node_disk_reads_merged_total{instance=""$node"",job=""$job""}[$__rate_interval])"
37,Disk Write Merged,"irate(node_disk_writes_merged_total{instance=""$node"",job=""$job""}[$__rate_interval])"
38,Time Spent Doing I/O,"irate(node_disk_io_time_seconds_total{instance=""$node"",job=""$job""}[$__rate_interval])"
39,File Nodes Free,"node_filesystem_files_free{instance=""$node"",job=""$job"",device!~'rootfs'}"
40,Space Available,"node_filesystem_avail_bytes{instance=""$node"",job=""$job"",device!~'rootfs'}"
41,Received Network Traffic,"irate(node_network_receive_packets_total{instance=""$node"",job=""$job""}[$__rate_interval])"
42,Transmitted Network Traffic,"irate(node_network_transmit_packets_total{instance=""$node"",job=""$job""}[5s])"
43,Network Total Received Errors,"irate(node_network_receive_errs_total{instance=""$node"",job=""$job""}[5s])"
44,Network Transmitted Errors Total,"irate(node_network_transmit_errs_total{instance=""$node"",job=""$job""}[$__rate_interval])"
